id,sku,name,slug,brand_id,category_id
255,epiphone_ej200ce_bk.htm,Epiphone J-200 EC Studio BK,epiphone-ej200ce-bk-htm,16,31
256,taylor_gs_mini_e_special_ed_blueburst.htm,Taylor GS Mini-e Special Ed BlueBurst,taylor-gs-mini-e-special-ed-blueburst-htm,10,31
257,harley_benton_hbo850bk.htm,Harley Benton HBO-850BK,harley-benton-hbo850bk-htm,18,31
258,harley_benton_hj_45e_sbk.htm,Harley Benton HBJ-45E SBK,harley-benton-hj-45e-sbk-htm,18,31
259,gibson_les_paul_music_city_sp._tb.htm,Gibson Les Paul Music City Sp. TB,gibson-les-paul-music-city-sp--tb-htm,3,0
260,harley_benton_dc_600_vi_vintage_series.htm,Harley Benton DC-600 VI Vintage Series,harley-benton-dc-600-vi-vintage-series-htm,18,0
261,harley_benton_sc_500_wh_vintage_series.htm,Harley Benton SC-500 WH Vintage Series,harley-benton-sc-500-wh-vintage-series-htm,18,0
262,harley_benton_hbt16bk_egitarre.htm,Harley Benton TE-20 BK Standard Series,harley-benton-hbt16bk-egitarre-htm,18,0
263,harley_benton_dc_200lh_bk_student_series.htm,Harley Benton DC-200LH BK Student Series,harley-benton-dc-200lh-bk-student-series-htm,18,0
264,harley_benton_te_20mn_ca_standard_series.htm,Harley Benton TE-20MN CA Standard Series,harley-benton-te-20mn-ca-standard-series-htm,18,0
265,epiphone_1963_dove_reissue_natural_ibc.htm,Epiphone 1963 Dove Reissue Natural IBC,epiphone-1963-dove-reissue-natural-ibc-htm,16,31
266,harley_benton_clc_650sm_ce_bk_solid_wood.htm,Harley Benton CLC-650SM-CE BK Solid Wood,harley-benton-clc-650sm-ce-bk-solid-wood-htm,18,31
267,harley_benton_ms15wh.htm,Harley Benton ST-20 WH Standard Series,harley-benton-ms15wh-htm,18,0
268,harley_benton_r_446_blood_metallic.htm,Harley Benton R-446 Blood Metallic,harley-benton-r-446-blood-metallic-htm,18,0
269,prs_se_silver_sky_summit_purple.htm,PRS SE Silver Sky Summit Purple,prs-se-silver-sky-summit-purple-htm,11,0
270,casio_ct_s200_rd.htm,Casio CT-S200 RD,casio-ct-s200-rd-htm,8,4
271,harley_benton_d_120ce_nt.htm,Harley Benton D-120CE NT,harley-benton-d-120ce-nt-htm,18,31
272,taylor_14ce.htm,Taylor 14ce,taylor-14ce-htm,10,31
273,harley_benton_clg_70asr_ce_nat_allsolid.htm,Harley Benton CLG-70ASR CE NAT AllSolid,harley-benton-clg-70asr-ce-nat-allsolid-htm,18,31
274,esp_ltd_ec_257_black_satin.htm,ESP LTD EC-257 Black Satin,esp-ltd-ec-257-black-satin-htm,79,0
